Ticker,Market Cap
MMM,57093009408
AOS,11598672896
ABT,181435629568
ABBV,263559806976
ACN,211820920832
ADM,39336849408
ADBE,277737570304
ADP,94299897856
AES,12200639488
AFL,48240574464
A,37158047744
ABNB,90165469184
APD,58500698112
AKAM,17256689664
ALK,4559967232
ALB,15020010496
ARE,20755687424
ALGN,16943807488
ALLE,9686483968
LNT,13111097344
ALL,36458233856
GOOGL,1697715322880
GOOG,1700471111680
MO,73045245952
AMZN,1523438321664
AMCR,13947531264
AMD,208270262272
AEE,20514967552
AAL,8992723968
AEP,41880764416
AXP,122742677504
AIG,46004678656
AMT,96239763456
AWK,25574502400
AMP,36185665536
AME,36272373760
AMGN,144027090944
APH,55780446208
ADI,91748925440
ANSS,24949868544
AON,64890007552
APA,10572604416
AAPL,3043838656512
AMAT,123572805632
APTV,22580875264
ACGL,29592541184
ANET,69695733760
AJG,52025917440
AIZ,8818391040
T,120978341888
ATO,16848356352
ADSK,47919099904
AZO,45402607616
AVB,24959137792
AVY,15438655488
AXON,17712852992
BKR,32666537984
BALL,18132959232
BAC,245009072128
BBWI,8488603136
BAX,18339764224
BDX,67461079040
WRB,18394009600
BRK.B,
BBY,15937149952
BIO,8863016960
TECH,10803226624
BIIB,34672640000
BLK,110787518464
BX,136156790784
BK,37730721792
BA,148037877760
BKNG,114264424448
BWA,7733309952
BXP,10056715264
BSX,80500654080
BMY,102368772096
AVGO,441137299456
BR,22512930816
BRO,21102944256
BF.B,
BG,15182596096
CHRW,9857009664
CDNS,70717079552
CZR,9532269568
CPT,9999104000
CPB,12791471104
COF,44974223360
CAH,26330177536
KMX,10665663488
CCL,23656368128
CARR,46374125568
CTLT,6702513152
CAT,132107558912
CBOE,18864967680
CBRE,25203333120
CDW,28558931968
CE,15386654720
COR,40522293248
CNC,39408005120
CNP,18160314368
CDAY,10487051264
CF,14627247104
CRL,10488143872
SCHW,116772700160
CHTR,54367993856
CVX,272421208064
CMG,61557088256
CB,90945052672
CHD,22898743296
CI,75730051072
CINF,16130143232
CTAS,56358875136
CSCO,196591173632
C,93569597440
CFG,13804863488
CLX,17560551424
CME,76181716992
CMS,16966077440
KO,253395058688
CTSH,35264376832
CL,63539617792
CMCSA,169455861760
CMA,6589693952
CAG,14109615104
COP,133073043456
ED,31604891648
STZ,43063345152
CEG,35518472192
COO,16590573568
CPRT,45505343488
GLW,24835923968
CTVA,31818516480
CSGP,33645027328
COST,270417362944
CTRA,18579142656
CCI,50338279424
CSX,65133244416
CMI,32683560960
CVS,96646184960
DHI,46132658176
DHR,160709230592
DRI,19124068352
DVA,9827218432
DE,104737325056
DAL,25963730944
XRAY,6754096640
DVN,28248465408
DXCM,44644405248
FANG,26620436480
DLR,41700913152
DFS,25830991872
DIS,169890299904
DG,27921737728
DLTR,27105456128
D,39739490304
DPZ,13774507008
DOV,20091000832
DOW,35715133440
DTE,22401792000
DUK,72747507712
DD,30485676032
EMN,10055827456
ETN,92761382912
EBAY,21429510144
ECL,54781095936
EIX,25871726592
EW,41957666816
EA,36885999616
ELV,112303357952
LLY,567733059584
EMR,51052453888
ENPH,14066119680
ETR,21572360192
EOG,69371527168
EPAM,15492584448
EQT,15272757248
EFX,28140298240
EQIX,75272896512
EQR,22335424512
ESS,15023517696
EL,47854878720
ETSY,9589260288
EG,16695757824
EVRG,11844414464
ES,20837298176
EXC,39031083008
EXPE,20202383360
EXPD,17500473344
EXR,30300469248
XOM,397878460416
FFIV,10199184384
FDS,16862715904
FICO,28034861056
FAST,35604963328
FRT,8153631232
FDX,68439035904
FITB,21281781760
FSLR,15532981248
FE,21277061120
FIS,34921005056
FI,79440617472
FLT,18490746880
FMC,6971532800
F,44072480768
FTNT,40054185984
FTV,24210286592
FOXA,13974286336
FOX,14030209024
BEN,12646512640
FCX,54706339840
GRMN,23837929472
IT,35617599488
GEHC,31193249792
GEN,14191837184
GNRC,7467011072
GD,68849180672
GE,131248947200
GIS,38056333312
GM,46219948032
